CustomerID,Name,Address,Occupation,Gender,Age,MaritalStatus,CreditScore,PolicyHistory,CustomerSegment,PreferredCommunication,RiskTolerance,PropertyTypeID,PropertyType,AgeOfProperty,ConstructionMaterial,PropertySize,LocationID,City,Region,Postcode,ClaimID,PolicyID,DateID,ClaimAmount,ClaimType,ResolutionTime,ThresholdID,TotalClaimsThreshold,PropertyTypeThreshold,RegionThreshold
1,Jeffery Hernandez,"2846 Jared Spur, Joshuatown, WV 85026",Lawyer,Other,44,Divorced,417,9,Individual,Email,Low,4,Detach,3,Brick,Large,9,London,West,66401,1,618,999,45526.810728850425,Travel,21,1,28,28,24
2,Crystal Smith,"6997 Mackenzie Circles Suite 441, Brownhaven, VA 52574",Lawyer,Male,25,Married,323,4,Individual,Mail,Medium,2,Terrace,22,Wood,Small,6,Birmingham,North,70397,2,702,1084,38100.23135066454,Health,23,2,19,28,91
3,Ms. Sandra Lee,"5559 Jackson Ford Apt. 855, North Amy, VI 34796",Engineer,Other,23,Widowed,444,7,High Networth,In Person,Medium,1,Single,18,Brick,Small,5,Glasgow,North,25193,3,440,808,27350.465893976834,Home,28,3,94,84,8
4,Nathaniel Smith,"61980 Jennifer Stravenue, Danielfort, PW 65087",Lawyer,Male,48,Divorced,584,1,High Networth,Telephone,Medium,4,Single,50,Brick,Large,7,Liverpool,East,77590,4,157,1038,32902.885754089846,Life,14,4,94,5,4
5,Laura Brown,"337 Adrienne Stream Suite 049, East Williambury, DE 62147",Doctor,Other,29,Divorced,802,1,Family,Mail,High,2,Detach,48,Wood,Small,5,London,West,03707,5,498,122,24279.350822079687,Travel,16,5,51,61,77
6,Brian Martinez,"02813 Morris Turnpike, Brownton, ND 20044",Artist,Male,44,Married,666,3,High Networth,Mail,Medium,2,Detach,32,Steel,Medium,5,London,East,72530,6,973,614,37885.278369174506,Health,28,6,26,81,28
7,Michael Faulkner,"513 Shannon Forge, Reginaldfurt, LA 98944",Teacher,Other,37,Married,337,2,Family,Email,Low,1,Detach,13,Wood,Small,1,Liverpool,East,55033,7,613,117,3879.4771329395776,Life,20,7,59,22,8
8,Kyle Allen,"366 Nguyen Rue Suite 320, South Laura, GA 67593",Teacher,Female,38,Single,475,8,High Networth,Telephone,High,4,Terrace,30,Wood,Small,1,Manchester,West,16337,8,568,9,25888.84118707884,Home,29,8,67,68,91
9,Tina Sullivan,"7502 Lori Islands, South Timton, AS 53094",Artist,Male,45,Widowed,541,4,Family,In Person,High,1,Flat,10,Brick,Medium,3,Edinburgh,Central,44600,9,208,729,44679.89794442328,Auto,7,9,56,77,100
10,James Douglas,"81167 Carolyn Way, Clarkmouth, WA 26643",Artist,Male,50,Widowed,400,1,High Networth,Telephone,Low,4,Flat,2,Wood,Small,2,Leeds,East,33076,10,463,760,3628.108644303001,Home,17,10,66,65,97
11,Ronald King,"5898 Benitez Track, South Jeffreytown, LA 41493",Doctor,Male,50,Widowed,417,1,Individual,In Person,Medium,3,Terrace,8,Concrete,Large,1,Manchester,Central,87740,11,192,839,22106.420490992314,Auto,24,11,100,70,73
12,Andrew Thompson,"9391 Jones Walk, Bishopview, DC 87645",Artist,Other,56,Married,420,3,High Networth,Mail,Medium,1,Detach,16,Wood,Small,2,London,East,57371,12,935,581,1942.3412340373454,Home,7,12,44,79,55
13,Jason Martin,"3858 John Pike Apt. 782, Lake Cynthiafurt, FM 42548",Artist,Male,21,Widowed,340,6,Individual,Telephone,Low,4,Single,47,Steel,Medium,2,Edinburgh,West,86294,13,699,1059,20810.91316433708,Home,2,13,15,57,64
14,Brian Martinez,"752 Holly Pass Apt. 390, Allenborough, IN 81704",Lawyer,Male,43,Married,559,10,Family,In Person,High,3,Detach,16,Steel,Large,6,Bradford,Central,75513,14,947,854,27723.79355644082,Health,26,14,89,8,91
15,William Hughes,"03554 Michael Lights Apt. 435, Jayton, IL 61715",Lawyer,Other,27,Married,614,2,Business,Mail,High,2,Terrace,16,Brick,Medium,1,Manchester,South,52052,15,554,787,19974.319315952176,Auto,6,15,67,41,42
16,Roger Fuentes,"Unit 2745 Box 3724, DPO AP 36155",Engineer,Male,53,Divorced,749,2,High Networth,In Person,High,4,Single,50,Concrete,Medium,4,Bradford,West,06650,16,954,306,12828.446529361063,Auto,2,16,87,16,92
17,Caitlin Carpenter,"PSC 4763, Box 0239, APO AP 25393",Engineer,Other,36,Divorced,775,6,High Networth,Telephone,Low,1,Single,1,Steel,Small,1,Edinburgh,North,87752,17,484,411,48445.64724193425,Travel,4,17,11,3,98
18,Billy Flores,"PSC 0963, Box 7908, APO AA 71968",Teacher,Male,26,Widowed,471,6,Business,In Person,Low,4,Terrace,39,Wood,Large,5,Leeds,West,82784,18,215,333,48351.504263015806,Home,29,18,45,72,46
19,Matthew Mcdaniel Jr.,"195 Chen Junction, Lake Erika, AZ 97337",Artist,Other,27,Divorced,499,5,Family,Telephone,High,1,Detach,29,Steel,Small,4,Bradford,South,03649,19,342,169,20790.60689689857,Auto,26,19,32,96,44
20,Olivia Wheeler,"769 Willis Loop Apt. 393, Clarktown, IN 20815",Engineer,Male,37,Divorced,625,3,Individual,In Person,High,4,Terrace,34,Concrete,Medium,4,Sheffield,West,78925,20,903,292,39917.76786873969,Travel,27,20,81,77,71
21,Emily Brooks,"90379 Jessica Manor Apt. 061, South James, OK 22574",Doctor,Male,68,Divorced,612,2,Family,In Person,High,2,Single,40,Concrete,Small,8,London,West,39985,21,390,475,5973.857250673242,Health,20,21,43,83,71
22,Mr. Mario Gonzalez,"8092 Nash Glens Apt. 783, New Prestontown, UT 87012",Engineer,Male,68,Widowed,834,5,High Networth,Email,Medium,1,Single,41,Concrete,Large,2,Birmingham,South,35894,22,989,218,37934.2803416234,Life,18,22,40,63,99
23,Robert Dixon,"6679 Young Drive, South Beckyton, CT 72626",Doctor,Male,51,Widowed,618,9,Individual,Telephone,High,4,Terrace,45,Brick,Small,6,Manchester,Central,51849,23,207,445,18991.62944190461,Health,23,23,85,72,100
24,David Francis,"PSC 2952, Box 9992, APO AE 67508",Engineer,Male,48,Divorced,485,2,Individual,Email,Medium,4,Terrace,37,Wood,Small,2,Manchester,East,17488,24,513,10,17484.0430896563,Travel,19,24,73,21,52
25,Kathryn Suarez,"72303 Cabrera Springs Suite 616, South Frank, VA 25129",Engineer,Male,19,Divorced,597,8,Business,Email,High,3,Detach,13,Wood,Small,6,Manchester,North,42972,25,336,851,46624.60583277025,Auto,27,25,78,40,87
26,Matthew Thomas,"6288 Robert Crossroad, Sharonmouth, RI 43105",Teacher,Female,69,Divorced,563,6,Family,Telephone,Medium,3,Flat,9,Wood,Medium,1,Sheffield,East,17199,26,250,575,3891.2920423554174,Auto,17,26,63,83,12
27,Michael Lam,"554 Gibson Crossroad, Wallaceshire, MI 75492",Teacher,Female,18,Single,476,10,Family,Mail,Medium,4,Single,39,Steel,Small,6,Glasgow,Central,89384,27,329,723,14088.475606059357,Life,23,27,78,76,41
28,Danielle Lopez,"410 Monroe Shore Suite 749, Matthewhaven, NJ 99547",Lawyer,Male,45,Single,607,9,Individual,Mail,High,1,Terrace,10,Brick,Large,1,Manchester,West,70629,28,262,776,34363.457375171005,Travel,29,28,21,70,51
29,Shawn Russell,"7222 Little Court, Suzannefurt, NV 13177",Lawyer,Male,54,Single,824,6,High Networth,Mail,Low,4,Single,4,Wood,Small,5,London,North,12825,29,255,479,36047.41136881359,Auto,4,29,85,26,7
30,Jessica Larson,"78274 Hernandez Harbor, East Danielfort, IN 47456",Engineer,Male,33,Single,698,4,Family,In Person,High,3,Flat,28,Steel,Large,7,Liverpool,South,45816,30,382,1049,6684.287671212864,Life,22,30,31,74,12
31,Tina English,"789 Short Fork, Lake Johnbury, ID 93439",Doctor,Male,23,Married,560,4,Business,Email,Medium,4,Terrace,18,Brick,Medium,5,Glasgow,East,89569,31,841,780,37766.62565779776,Life,10,31,18,83,9
32,Lori Webb,"076 Collins Burgs, Lake Christopherland, ND 19304",Engineer,Male,44,Widowed,314,10,High Networth,Mail,Low,1,Single,11,Steel,Large,2,Sheffield,North,37751,32,747,945,5576.417156566147,Life,1,32,87,40,36
33,William Faulkner,"395 Tina Union, Lake Wanda, LA 16767",Lawyer,Female,66,Widowed,534,9,Family,Telephone,High,3,Terrace,5,Wood,Large,5,Manchester,West,40068,33,685,94,34973.096296288684,Life,21,33,64,83,29
34,Melissa Maldonado,"17299 Joshua Valley, Danafurt, DC 86671",Teacher,Other,21,Divorced,575,2,Business,Telephone,Low,2,Flat,23,Concrete,Small,7,Manchester,South,86395,34,205,686,9885.09724451624,Auto,22,34,2,42,4
35,Ashley Meza,"478 Palmer Ferry, Port Dylan, TX 60171",Lawyer,Other,48,Divorced,815,2,Business,Email,Low,2,Terrace,16,Brick,Medium,6,Edinburgh,North,18384,35,894,441,35284.05477523583,Auto,27,35,18,12,59
36,Tina Olsen,"6655 Michael Orchard Suite 178, Thomaston, FM 72133",Engineer,Other,55,Divorced,590,10,Individual,In Person,Low,1,Single,17,Concrete,Small,3,Manchester,North,34048,36,546,241,44995.32048942624,Travel,4,36,91,70,98
37,James Hill,"1451 Smith Centers, Haroldland, KY 27307",Teacher,Male,44,Married,358,7,Business,Email,Medium,4,Flat,31,Concrete,Small,6,Edinburgh,Central,46889,37,225,265,24004.9310431006,Auto,16,37,62,32,21
38,William Holden,"8568 Timothy Highway, New Marcberg, TX 16160",Lawyer,Other,59,Divorced,806,9,High Networth,Email,Medium,2,Detach,5,Steel,Large,9,Bradford,South,22587,38,175,1025,48064.16391739632,Life,12,38,17,85,41
39,Samantha Golden,"48540 Lopez Course, Port Andrew, OH 94080",Lawyer,Female,42,Widowed,749,10,High Networth,Mail,High,3,Terrace,6,Steel,Large,7,Manchester,North,09311,39,188,733,10765.214795494087,Auto,21,39,41,19,99
40,Kenneth Davis,"438 Dawson Fields Apt. 155, Port Megan, AR 65739",Teacher,Male,45,Widowed,741,10,Business,In Person,High,4,Terrace,4,Steel,Large,3,Edinburgh,North,92454,40,509,25,13443.2705466564,Home,16,40,76,91,83
41,Christina Cox,"632 Rebecca Lakes Suite 690, New Desiree, ID 68813",Lawyer,Female,60,Married,597,10,Business,Email,Low,2,Detach,7,Concrete,Small,2,London,North,85809,41,478,730,24492.776127449004,Health,2,41,9,69,29
42,Theresa Stark,"7037 Rodriguez Path, Thomasstad, FM 53194",Engineer,Other,60,Widowed,819,5,High Networth,Telephone,Medium,3,Flat,1,Wood,Small,3,Manchester,North,97179,42,301,91,7976.922251763722,Home,7,42,73,99,82
43,Marcus Campbell,"74949 Anderson Light, West Erica, DE 84378",Doctor,Other,40,Divorced,352,4,Individual,In Person,Low,2,Single,49,Wood,Medium,8,Birmingham,West,29389,43,665,151,6974.280606379874,Auto,20,43,50,84,92
44,Taylor Mullins,"0900 Howard Rapid Apt. 157, Davidberg, ID 75259",Teacher,Other,68,Widowed,537,6,High Networth,Mail,High,3,Flat,4,Steel,Medium,1,Liverpool,West,68623,44,519,546,24503.48631264875,Home,9,44,27,38,94
45,Jason Collins,"80510 Roberts Manor, Colemanbury, VT 93555",Lawyer,Other,70,Single,568,9,Individual,Mail,High,4,Detach,7,Wood,Medium,10,Edinburgh,North,26965,45,125,643,42193.03723587152,Home,5,45,55,83,75
46,Jacqueline Wade,"USNS Davis, FPO AE 19865",Lawyer,Other,33,Widowed,353,7,Family,Email,Low,4,Single,46,Concrete,Large,1,Manchester,East,98770,46,738,364,25221.385459756166,Home,29,46,92,95,30
47,Ryan Franklin,"218 Simon Ports, North Amanda, GA 83306",Doctor,Other,39,Widowed,535,5,Individual,Email,Low,4,Terrace,45,Concrete,Medium,6,London,East,12623,47,769,193,11227.349199368053,Home,30,47,98,22,22
48,Justin Bishop,"35266 Cooper Forest Suite 781, South Robert, PW 66286",Lawyer,Male,57,Single,688,6,Family,Mail,High,4,Terrace,22,Brick,Small,5,Edinburgh,Central,76459,48,244,649,7701.38624543338,Health,22,48,77,10,95
49,Aaron Meza,"432 Veronica Gateway Apt. 449, Joelberg, AK 55857",Doctor,Other,50,Divorced,393,6,Business,Mail,Low,3,Flat,5,Brick,Large,10,London,West,60411,49,646,13,44982.79716056676,Health,29,49,51,54,13
50,Shelly Dickson,"12677 Kim Bypass Suite 715, South Jamesstad, NY 75773",Teacher,Female,40,Married,737,2,Business,Email,Low,1,Single,27,Wood,Small,3,Birmingham,North,95005,50,164,863,10509.733776532996,Health,13,50,78,14,31
51,Kenneth Silva,"7056 Nicole Fort Apt. 595, North Alicia, SC 67647",Lawyer,Female,59,Widowed,486,6,Individual,In Person,High,3,Single,7,Brick,Small,9,Manchester,Central,17211,51,424,427,38418.80738663736,Life,27,51,14,34,32
52,Jared Rodriguez,"4282 Johnson Terrace, Conleychester, WA 63602",Engineer,Male,58,Divorced,482,7,Business,Telephone,Medium,2,Single,21,Concrete,Medium,4,London,North,89589,52,826,539,32528.407529656117,Auto,18,52,4,38,42
